epoch,loss_epoch,trainCSF_epoch,trainGM_epoch,trainWM_epoch,val_loss,valCSF,valGM,valWM
1,0.438783735,0.917426884,0.866564274,0.771811008,0.364326984,0.93693471,0.888349652,0.803181589
1,0.279895097,0.949427009,0.91737932,0.860792577,0.210492998,0.961699545,0.938721001,0.901220858
2,0.24464041,0.955827594,0.92921406,0.881339431,0.197672516,0.959754288,0.94446969,0.910725057
3,0.216146886,0.96099478,0.93799603,0.896997511,0.175295174,0.969564497,0.949443758,0.914961219
4,0.19718276,0.964519143,0.944391608,0.906871557,0.163991809,0.971201837,0.952942431,0.920692801
1,0.196425259,0.963999033,0.945870638,0.909403622,0.152061686,0.972011387,0.956781447,0.930612564
2,0.183858693,0.966602147,0.949975908,0.915299833,0.176350981,0.968194604,0.950219512,0.922959387
3,0.174142957,0.968574643,0.952503681,0.919467807,0.144941956,0.974276125,0.958488822,0.933047652
4,0.172330201,0.968919337,0.953609228,0.921082675,0.142302155,0.975372434,0.960692108,0.935643494
5,0.163158074,0.970660686,0.956204116,0.925475419,0.130098164,0.977579832,0.964583933,0.939122379
6,0.155983269,0.972029865,0.958405435,0.928726137,0.127530724,0.978444457,0.964998603,0.940957248
7,0.152469397,0.972708166,0.959434927,0.930214167,0.120932266,0.979626298,0.967146397,0.943852901
8,0.148993924,0.973232448,0.960791528,0.932896078,0.119824678,0.980087578,0.966490269,0.944970667
9,0.144448251,0.974136531,0.962179542,0.934657991,0.11562258,0.980418205,0.968007326,0.946693242
10,0.143238619,0.974348307,0.962379396,0.935170412,0.114990517,0.979696572,0.968385637,0.94744581
11,0.137635425,0.975361943,0.964143157,0.937645197,0.11823453,0.979986191,0.966530979,0.94893235
12,0.134667888,0.975969613,0.964642227,0.939008474,0.106908597,0.981899619,0.971253932,0.951493382
13,0.133343875,0.976199627,0.965119481,0.940268099,0.106360167,0.981752217,0.970930874,0.952818632
1,0.131568357,0.976341128,0.966260254,0.94202584,0.102320112,0.983118892,0.973507345,0.954842508
2,0.126175106,0.977413356,0.967495501,0.944498181,0.106474109,0.982824266,0.970853984,0.952308357
1,0.125614628,0.977441013,0.967472434,0.944454253,0.099542096,0.984005511,0.972407579,0.955563068
2,0.122847795,0.978015959,0.968317926,0.945622027,0.099689275,0.983209789,0.972602308,0.956623435
3,0.119551897,0.978685081,0.969357252,0.947188556,0.093243256,0.984288573,0.974480689,0.959064066
4,0.118320398,0.978939712,0.969480455,0.948096573,0.095780477,0.984240353,0.97381109,0.957593083
5,0.115209803,0.979459584,0.970494866,0.949406803,0.095659748,0.984381735,0.974653959,0.958773255
6,0.114712663,0.979516327,0.970941365,0.949701905,0.090357713,0.98444432,0.975318491,0.961348116
7,0.114987828,0.979435086,0.970551014,0.949737012,0.092820778,0.9845227,0.975291073,0.960258245
8,0.111748397,0.980094373,0.971592665,0.951307118,0.087634929,0.985188246,0.976351678,0.962733865
9,0.110518686,0.980304837,0.971756756,0.951625288,0.088402048,0.984062016,0.97618413,0.962981224
10,0.109683461,0.980408847,0.971914291,0.952526748,0.085873879,0.984829664,0.976389885,0.963269651
11,0.107564159,0.980835557,0.972635269,0.952853441,0.086959898,0.985445499,0.976141512,0.962982714
12,0.106864497,0.980954528,0.972746789,0.953341067,0.089715883,0.984823167,0.975470066,0.963026702
1,0.10940817,0.980359435,0.972174883,0.952750206,0.08415705,0.985892296,0.978077114,0.963869691
2,0.106157094,0.981051922,0.973065913,0.954069614,0.08289884,0.986015856,0.978219688,0.964327455
3,0.105347268,0.981122017,0.973291993,0.954680502,0.086463951,0.984803081,0.977260113,0.963640571
4,0.104846716,0.981336176,0.973242819,0.954476595,0.080832697,0.986454725,0.978470027,0.964755833
5,0.103182301,0.981484473,0.973826647,0.955829024,0.085212462,0.985817969,0.976991713,0.965100169
6,0.101302482,0.98192966,0.974573195,0.956234872,0.081797384,0.985936046,0.978328705,0.966109991
7,0.101546496,0.981854856,0.974256039,0.956256509,0.075932309,0.987368345,0.97988075,0.967794716
8,0.099434353,0.982286096,0.974654078,0.957194269,0.078211471,0.986937821,0.978878319,0.966466784
9,0.099039137,0.982363284,0.974764407,0.957182348,0.079397678,0.986651719,0.978902817,0.965394855
1,0.095232986,0.982896388,0.976114571,0.959389627,0.070396699,0.988171399,0.981692195,0.97071594
2,0.092208818,0.983475029,0.976778746,0.960720241,0.074098706,0.98789829,0.980639696,0.968825161
3,0.090576634,0.983864427,0.977177024,0.96147871,0.071980484,0.987792015,0.981049001,0.96956408
4,0.089226149,0.984048605,0.977642894,0.962245822,0.069475092,0.988267422,0.981833398,0.970988929
5,0.088407919,0.984234869,0.977880001,0.962510288,0.075859629,0.987170577,0.978917718,0.968483031
6,0.088983908,0.984144092,0.977685392,0.962486982,0.067823127,0.988777995,0.981943488,0.972176969
7,0.08778812,0.984356821,0.978046179,0.963056445,0.067442827,0.988840222,0.982244074,0.971163392
8,0.087801233,0.984273255,0.978289723,0.962879658,0.066247724,0.988987029,0.982299626,0.97282809
9,0.084988542,0.984806716,0.978696406,0.963843644,0.066623256,0.988705933,0.982194722,0.972357213
10,0.084639825,0.984888196,0.978719175,0.963843226,0.066905059,0.988882124,0.982491732,0.972245276
11,0.084873706,0.984758735,0.978720725,0.964266896,0.070451356,0.987944186,0.980998516,0.972316086
12,0.083870448,0.984983802,0.978976011,0.964546144,0.064718992,0.989052892,0.982757151,0.973998785
13,0.083689585,0.985015631,0.979016185,0.964355707,0.063667238,0.989342153,0.982917547,0.973995566
1,0.082528494,0.985164404,0.979357302,0.965622544,0.062478967,0.989533603,0.98355794,0.974142969
1,0.080048896,0.985650599,0.980045974,0.966398716,0.060927521,0.989877045,0.983804405,0.975135803
1,0.07989946,0.985610485,0.980046511,0.966401041,0.060927521,0.989877045,0.983804405,0.975135803
2,0.07989946,0.985610485,0.980046511,0.966401041,0.061329409,0.989728093,0.983498573,0.975498974
3,0.078757182,0.985837996,0.980522811,0.96699363,0.073918849,0.987210572,0.980919838,0.970378578
1,0.07918835431337357,0.985675573348999,0.9802168607711792,0.9672183394432068,0.05876203626394272,0.9900866150856018,0.9844379425048828,0.9762345552444458
2,0.07798393070697784,0.9860289692878723,0.9804238080978394,0.9670745134353638,0.05816660821437836,0.990462601184845,0.9843728542327881,0.976701021194458
3,0.07708004862070084,0.9861533045768738,0.9807576537132263,0.9677489399909973,0.058346446603536606,0.9901635646820068,0.9846343398094177,0.9759458303451538
4,0.07688620686531067,0.9861863851547241,0.9808781743049622,0.9679637551307678,0.05734466388821602,0.9904999136924744,0.984859824180603,0.976809561252594
5,0.07632356882095337,0.9863205552101135,0.9809081554412842,0.9679830074310303,0.058950506150722504,0.9895668625831604,0.984198808670044,0.9769003987312317
6,0.07589308172464371,0.9863866567611694,0.9809777140617371,0.9681580066680908,0.057210493832826614,0.9903339147567749,0.9850441217422485,0.9773427248001099
7,0.07525619119405746,0.986470103263855,0.9811921119689941,0.9683088660240173,0.07064466923475266,0.9875442385673523,0.9804243445396423,0.9734837412834167
8,0.07509510219097137,0.9864943623542786,0.9811477661132812,0.9686676263809204,0.057177379727363586,0.9902999997138977,0.9847313761711121,0.9775286316871643
9,0.07545975595712662,0.9864513874053955,0.9810349345207214,0.9685212969779968,0.05588075891137123,0.9906810522079468,0.985390841960907,0.9779511094093323
10,0.07445582747459412,0.9866305589675903,0.9813547730445862,0.9688039422035217,0.05678168684244156,0.9906384944915771,0.9847363829612732,0.9770957827568054
